,h,t,r,type,newEntities,pair_c
62,He,Q95026,wanted,Open_KG,head_,default
63,You,Q214339,are playing really well,Open_KG,head_,default
64,I,pleased,'m,Open_KG,head_tail_,default
65,Q742019,Q323991,film about,KG,,default
66,It,Q162389,also starred,Open_KG,head_,default
67,It,Q5074608,was adapted from,Open_KG,head_,default
68,Q329193,Q5074608,'s Goodbye is,KG,,default
69,fight,Q1254874,is with,Open_KG,head_,default
70,Q194402,Q282049,stupidest mistake of,KG,,default
71,I,Q431289,was devoted to,Open_KG,head_,default
72,she,Q93288,breaking,Open_KG,head_,default
73,Q1286627,Q204854,aired during,KG,,default
74,she,Q713200,was,Open_KG,head_,default
75,Q3246821,Q48102683,is in,KG,,default
76,Q4780984,Q11424,is in,KG,,default
77,It,Q210756,has,Open_KG,head_,default
78,Q467223,Q2048640,'s mother is,KG,,default
79,Q467223,Q7560,has,KG,,default
80,It,Q210756,has,Open_KG,head_,default
81,Q2025715,Q53098,'s mother is,KG,,default
82,Q61900541,2000,is in,Open_KG,tail_,default
83,Q61900541,Q3736133,is in,KG,,default
84,Q2025715,Q7560,has,KG,,default
85,Q214339,Q24856,is in,KG,,default
86,her,Q108941,daughter,Open_KG,head_,default
87,Q308194,Q24590815,is in,KG,,default
88,Q108941,Q223642,documentary about,KG,,default
89,It,Q42369,premiered at,Open_KG,head_,default
90,Q289,Q108,was,KG,,default
91,Q11424,Q728265,is intimate,KG,,default
92,Q7588902,Q7560,presented to,KG,,default
93,Q7366,Q15901539,1957 from,KG,,default
94,Q11563,Q108,is in,KG,,default
95,Q5039885,1959,is in,Open_KG,tail_,default
96,Q11563,Q110,is in,KG,,default
97,Q292412,1960,is in,Open_KG,tail_,default
98,Q194402,Q7401,was noted As,KG,,default
99,Q1765879,Q11424,is in,KG,,default
100,their,Q1957174,roles,Open_KG,head_,default
101,Q11424,Q1957174,in roles is,KG,,default
102,Q476300,1948,is in,Open_KG,tail_,default
103,Q194402,Q7694472,doing stage impersonations as,KG,,default
104,Q163759,Q61875850,attending,KG,,default
105,Q73089,Q194402,reflecting on,KG,,default
106,I,Q23768,plays in,Open_KG,head_,default
107,they,Q17641254,are on,Open_KG,head_,default
108,Q12605358,Q11471,was,KG,,default
109,Q235065,play,debuts in,Open_KG,tail_,default
110,her,Q162672,daughter,Open_KG,head_,default
111,she,Q739302,received Tony nomination For,Open_KG,head_,default
112,she,Q460735,appeared in,Open_KG,head_,default
113,she,Q263696,show,Open_KG,head_,default
114,Q445849,Q65,is in,KG,,default
115,to centerpiece,Q317548,is in,Open_KG,head_,default
116,Q33506,Q3052382,most valuable asset of was,KG,,default
117,Q783794,Q1621107,is in,KG,,default
118,Q5503,Q11424,is in,KG,,default
119,Q882,Q650570,has,KG,,default
120,Q4616,Q11460,has,KG,,default
121,Q194402,1997,was forced In,Open_KG,tail_,default
122,Q194402,bankruptcy,declare,Open_KG,tail_,default
123,Q194402,Q11471,was married at_time,KG,,default
124,Q363708,1955,is in,Open_KG,tail_,default
125,Q8445,Q363708,was to,KG,,default
126,Q8445,Q363708,was to,KG,,default
127,Q988136,Q5582580,were,KG,,default
128,Q1772698,her,is with,Open_KG,tail_,default
129,Q7588902,her,affair with,Open_KG,tail_,default
130,Q7588902,led,was great,Open_KG,tail_,default
131,Q194402,Q4,just weeks before,KG,,default
132,Q7588902,led,was public,Open_KG,tail_,default
133,Q11471,Q35724,is in,KG,,default
134,Q657221,Q194402,is with,KG,,default
135,Q657221,Q467033,end,KG,,default
136,Q194402,it,described,Open_KG,tail_,default
137,Q4896819,Now retrospect,is in,Open_KG,tail_,default
138,He,me,did give,Open_KG,head_tail_,default
139,Q36794,him,is always open to,Open_KG,tail_,default
140,Q36794,always open,is,Open_KG,tail_,default
141,Q79784,Q7565,is with,KG,,default
142,Q8445,Q5482740,was to,KG,,default
143,Q8445,Q5482740,was to,KG,,default
144,involvement,Thalians,is in,Open_KG,head_tail_,default
145,Q3853754,Q65,is in,KG,,default
146,Q194402,Q308194,has,KG,,default
147,Q3853754,Q65,is in,KG,,default
148,Q194402,Q12202,suffering,KG,,default
149,she,Q577,was old,Open_KG,head_,default
150,Q194402,while cremated,was entombed,Open_KG,tail_,default
151,Q308194,while cremated,was,Open_KG,tail_,default
152,Q308194,cremated,was,Open_KG,tail_,default
153,Q194402,entombed,was,Open_KG,tail_,default
154,Q214609,Q3196,was reportedly destroyed in,KG,,default
155,Q194402,Q2611839,was,KG,,default
156,Q7850,Q34006,is in,KG,,default
157,Q488004,Q28173261,Walk of,KG,,default
158,Q7620375,Q7191144,is In,KG,,default
159,1988,Q1181414,Reynolds at_time,Open_KG,head_,default
160,Q49088,Q1181414,with Reynolds is,KG,,default
161,Q909104,Q1181414,with Reynolds is,KG,,default
162,Q194402,Q909104,is with,KG,,default
163,Q909104,Q1181414,with Reynolds is,KG,,default
164,Q194402,Q909104,is with,KG,,default
165,Q1394397,distributed containing,is,Open_KG,tail_,default
166,Q238231,purchaser,has,Open_KG,tail_,default
167,Q1394397,Q238231,included on,KG,,default
168,second,Q5294,is created dynamically from,Open_KG,head_,default
169,Q3331189,Q737372,is,KG,,default
170,Q11424,Q249998,using,KG,,default
171,Q11424,Q8188561,within,KG,,default
172,past,Q190087,is with,Open_KG,head_,default
173,Q82753,Q7126717,is with,KG,,default
174,Q690079,Q82753,copy,KG,,default
175,Q278368,Q2221906,based,KG,,default
176,Q690079,Q5447188,copy files based,KG,,default
177,Q1189357,Q844772,is with,KG,,default
178,Q744616,Q1139338,utilized iTunes due,KG,,default
179,Q5447188,Q192532,Open,KG,,default
180,Q5447188,Q192532,Open,KG,,default
181,Q2720536,Q780687,is with,KG,,default
182,Q238231,Q11563,limit,KG,,default
183,Q82753,Q13107365,is in,KG,,default
184,themselves,Q7397,using,Open_KG,head_,default
185,Q22855,more,pay,Open_KG,tail_,default
186,Q1740954,Q190258,meet,KG,,default
187,Q1740954,Q190258,meet,KG,,default
188,Q375336,Q49202,is in,KG,,default
189,Q885885,Q49202,company in,KG,,default
190,its,Q943532,film,Open_KG,head_,default
191,their,Q943532,sequel,Open_KG,head_,default
192,Their,Q756238,production,Open_KG,head_,default
193,Q47036859,2006,is in,Open_KG,tail_,default
194,Q1849813,Q11424,has,KG,,default
195,Q7577129,Q64708600,is in,KG,,default
196,Q11424,Q64708600,was Spies in,KG,,default
197,Q7037733,Q277759,adaptation of,KG,,default
198,Q1257444,Q535335,was cancelled due,KG,,default
199,Q47534,Q277759,adaptation of,KG,,default
200,Q1869303,Q838795,adaptation to,KG,,default
201,Q210844,Q7889,adaptation of,KG,,default
202,Q1403772,Q571,adaption of,KG,,default
203,Q1453954,Q7569,has,KG,,default
204,Q948635,Q20011557,adaptation of,KG,,default
205,Q7569,Q571,’s,KG,,default
206,together,Q11424,entered over,Open_KG,head_,default
207,Q4572,Q34006,is in,KG,,default
208,Q40056,Q3914,is in,KG,,default
209,Q5429369,Q188628,has,KG,,default
210,*,Q55635451,indicates,Open_KG,head_,default
211,*,Q140686,indicates,Open_KG,head_,default
212,Q618779,Q795052,was annual,KG,,default
213,Q140686,Q583810,creator of,KG,,default
214,Q1664720,Q3116715,'s chairperson is,KG,,default
215,Q1664720,Q635155,'s chairperson is,KG,,default
216,Q618779,Q3116715,was named after,KG,,default
217,Q5186556,graduated,was,Open_KG,tail_,default
218,Q1318295,beginning,is with,Open_KG,tail_,default
219,Q5255430,Q946865,is with,KG,,default
220,Q746628,Q11707054,is,KG,,default
221,Q783794,Q625568,is in,KG,,default
222,Q746628,Q625568,Most firms in,KG,,default
223,Q375336,Q16502,is in,KG,,default
224,Q1786944,Q1361,is in,KG,,default
225,Q1023646,Q483242,structure near,KG,,default
226,Q3637466,1893,is In,Open_KG,tail_,default
227,Q375336,Q30,is in,KG,,default
228,Q483242,Q932601,is in,KG,,default
229,Q783794,Q99,moving to,KG,,default
230,Q47616,Although then available,were by,Open_KG,tail_,default
231,Q47616,Although then widely available,were by,Open_KG,tail_,default
232,Q210064,Q193788,best source of was,KG,,default
233,Q385378,Q995043,is in,KG,,default
234,Q746801,Q1894881,has,KG,,default
235,Q375336,Q34006,is in,KG,,default
236,Q3143067,Q816843,is in,KG,,default
237,Q11396960,Q8148,is in,KG,,default
238,mid-1920s,Q200726,By 5 is,Open_KG,head_,default
239,mid-1920s,Q11396960,By 5 is,Open_KG,head_,default
240,Q11707054,Q601401,is in,KG,,default
241,their,Q1777129,films,Open_KG,head_,default
242,Q170079,Q11707054,operated simultaneously with,KG,,default
243,Q746628,Q735427,are sometimes collectively referred to,KG,,default
244,Q858467,Q6498684,has,KG,,default
245,Q159846,Q11201,is in,KG,,default
246,Q34006,Q5579109,has,KG,,default
247,Q6497985,Q6501349,is central component of,KG,,default
248,Q1071233,Q1415395,is in,KG,,default
249,Q7973858,Q80071,somewhat inexplicably evolved into,KG,,default
250,Q375336,Q340169,produce,KG,,default
251,Q47694,Q11229,is with,KG,,default
252,Q24639,Q16,is in,KG,,default
253,Q1054483,Q65,is in,KG,,default
254,Q686301,fall 2019,opened Tyler Perry Studios In,Open_KG,tail_,default
255,Q7860124,Q23556,is in,KG,,default
256,Q3072120,Q11307668,make films outside,KG,,default
257,Q11707054,Q1260632,focus on,KG,,default
258,Q375336,Q30,is in,KG,,default
259,you,Q183252,pointing way to,Open_KG,head_,default
260,Q1166770,Q11424,is in,KG,,default
261,Q1395034,Q41253,is in,KG,,default
262,1990s,Q11424,is in,Open_KG,head_,default
263,Q459290,1980s,Continuing from,Open_KG,tail_,default
264,Q1357284,Q8148,is in,KG,,default
265,Q11352,Q180516,is in,KG,,default
266,Q7743,Q7828141,major factor in,KG,,default
267,Q7743,Q850210,often doubling,KG,,default
268,Q760170,Q7828141,is in,KG,,default
269,Q4686367,Q11016,is in,KG,,default
270,Q207326,Q1357284,is in,KG,,default
271,Q2901452,1994,is in,Open_KG,tail_,default
272,Q877435,Q846544,resurgence of,KG,,default
273,Q735,Q380675,is in,KG,,default
274,Q735,Q11424,is with,KG,,default
275,Q93196,Q1357284,gained worldwide,KG,,default
276,Q93196,Q1357284,gained,KG,,default
277,Q24238946,Q124,is in,KG,,default
278,Q11424,Q145,is in,KG,,default
279,1990s,Q638,is in,Open_KG,head_,default
280,1990s,1990s,films of,Open_KG,head_tail_,default
281,1990s,Q289,is in,Open_KG,head_,default
282,Q56474015,Q11424,History of,KG,,default
283,Q11424,Q897,is in,KG,,default
284,Q11424,Q50602,is in,KG,,default
285,Q11424,Q234852,later stored in,KG,,default
286,Q3990757,Q3253281,stacked reels in,KG,,default
287,Q3990757,Q6505498,leveled rink with,KG,,default
288,Q3990757,Q188628,covered reels with,KG,,default
289,Q3196,1951,is in,Open_KG,tail_,default
290,Q6587194,when was built,was,Open_KG,tail_,default
291,Q114633,Q2329,Owing to,KG,,default
292,Q11424,complete,is in,Open_KG,tail_,default
293,Q679657,1912,'s Dream is,Open_KG,tail_,default
294,Q494367,Q5582571,Out,KG,,default
295,Q11255,Q63145870,has,KG,,default
296,Q3444238,Q253623,has,KG,,default
297,Q242899,Q160409,has,KG,,default
298,Q679657,Q370165,has,KG,,default
299,Q864394,1912,'s Vendetta is,Open_KG,tail_,default
300,Q864394,Q18155487,has,KG,,default
301,Q151480,Q30,Company Of,KG,,default
302,Pansy,Q181815,Story of,Open_KG,head_,default
303,Pansy,Q617395,Story Upon,Open_KG,head_,default
304,Q30939513,Q2915810,of Mystery is,KG,,default
305,Q52152986,Q48801126,has,KG,,default
306,Mildred,1914,'s Doll is,Open_KG,head_tail_,default
307,Q1544011,Weekly # 17,has,Open_KG,tail_,default
308,Q833860,Q6517201,has,KG,,default
309,Q166870,Q19809,has,KG,,default
310,Q186350,Q1284200,'s Sins is,KG,,default
311,Q27500565,1914,'s Sacrifice is,Open_KG,tail_,default
312,Q833860,1914,'s Legacy is,Open_KG,tail_,default
313,Q27500565,Q281988,has,KG,,default
314,Q5035441,Pedigrees,is In,Open_KG,tail_,default
315,Fatty,Q29652910,has,Open_KG,head_,default
316,Fatty,1913,'s Off is,Open_KG,head_tail_,default
317,Mildred,Q151596,has,Open_KG,head_,default
318,Q186350,Q217420,For,KG,,default
319,Q186350,1914,'s Sins is,Open_KG,tail_,default
320,Q16275726,Q484497,has,KG,,default
321,Q900962,Pharaohs,Fun Amongst,Open_KG,tail_,default
322,Q43689,1915,'s Perch is,Open_KG,tail_,default
323,Q23768068,Q160173,has,KG,,default
324,Q43689,Q600262,has,KG,,default
325,Q23768068,1915,'s Ruse is,Open_KG,tail_,default
326,Q606569,Q59101449,has,KG,,default
327,Q65040562,Q3048676,of Mystery is,KG,,default
328,Q6072569,Q61875850,Folly 's,KG,,default
329,Q61875850,1917,'s Folly is,Open_KG,tail_,default
330,Q61875850,Q5464803,has,KG,,default
331,Q64744044,Q1757618,has,KG,,default
332,Q64744044,Q1757618,has,KG,,default
333,Q64744044,1916,'s Inspiration is,Open_KG,tail_,default
334,Q64744044,1916,'s Inspiration is,Open_KG,tail_,default
335,Q959677,Q16005,End of,KG,,default
336,Q64744044,Q67174774,'s Inspiration is,KG,,default
337,Q6072569,Q4934,Case of,KG,,default
338,Q61875850,Q5464803,has,KG,,default
339,Q64744044,Q7207,'s Inspiration is,KG,,default
340,Q3331431,Q1141210,has,KG,,default
341,Q7265595,Q750553,is,KG,,default
342,Q7265595,Q174,is in,KG,,default
343,Q3336843,Q20502,has,KG,,default
344,Q1162163,2010,is In,Open_KG,tail_,default
345,Q16187372,Q1162163,was,KG,,default
346,Q11424,top 50,is in,Open_KG,tail_,default
347,Q345,Q49958,Films of,KG,,default
348,Q9531,Q1995008,has,KG,,default
349,Q345367,Q11424,list of,KG,,default
350,Q345367,Q9684,list ',KG,,default
351,Q4103201,Q1145574,is In,KG,,default
352,2010s,Q638,is in,Open_KG,head_,default
353,Q56474015,Q11424,History of,KG,,default
354,Q56474015,Q24869,List of,KG,,default
355,Q373853,Q604733,is,KG,,default
356,Q1075,Q41364,transmit light at,KG,,default
357,Q30939513,Q1209448,is with,KG,,default
358,Q30939513,lenses,is in,Open_KG,tail_,default
359,Q1209448,Q11469,is in,KG,,default
360,Q1235343,Q1152429,works with,KG,,default
361,Q577714,Q3421578,is with,KG,,default
362,Q2383321,Q577714,is in,KG,,default
363,1890s,Q11424,is in,Open_KG,head_,default
364,Q11019,Q669700,called,KG,,default
365,Q122,Q253623,files for,KG,,default
366,Q7246244,Q90,is in,KG,,default
367,Q2915810,Q486269,becomes,KG,,default
368,Q746801,Q6813432,dubbed Black Maria by,KG,,default
369,Q669700,Q11019,viewing,KG,,default
370,his,Q2313156,assistant,Open_KG,head_,default
371,Q82794,Q669700,first commercial presentation of,KG,,default
372,Q669700,Q515,open in,KG,,default
373,Q10550521,Q515,open in,KG,,default
374,Q11019,Q5290,project images onto,KG,,default
375,Q126,Q142,is In,KG,,default
376,Q7246244,Q60,is in,KG,,default
377,Q2295790,Q90,is in,KG,,default
378,Q17525443,Q1395034,is in,KG,,default
379,Q478798,Q41253,is in,KG,,default
380,they,Q2920535,were still used after,Open_KG,head_,default
381,Q183252,Q1412049,is with,KG,,default
382,Q11410,Q11772,is in,KG,,default
383,Q131841,Q18535,was,KG,,default
384,Q859,Q131841,has,KG,,default
385,Q11635,Q186115,is in,KG,,default
386,Q1700971,Q186115,several theaters in,KG,,default
387,Q1700971,Q186115,several theaters in,KG,,default
388,Q1200750,Q46202,is found,KG,,default
389,Q1200750,Q37260,is found BCE in,KG,,default
390,Q639,Q207961,is in,KG,,default
391,Q651050,Q44315,is in,KG,,default
392,Q639,Q214334,is in,KG,,default
393,Q651050,Q170544,is in,KG,,default
394,Q7512111,Q44539,is in,KG,,default
395,Q9128,Q2006082,CE,KG,,default
396,Q7049,Q2025821,is in,KG,,default
397,Q5278117,Q3843167,has,KG,,default
398,Q478798,Q2827815,use as,KG,,default
399,Q391788,Q180516,is in,KG,,default
400,anything,Q391788,desired on,Open_KG,head_,default
401,Q1664689,Q58697,for deer is,KG,,default
402,Q841203,Q1664689,deer for,KG,,default
403,Q1664689,Q1247466,for deer is,KG,,default
404,Q1664689,rhinos,for deer is,Open_KG,tail_,default
405,Q5278117,Q37501,shown often,KG,,default
406,Q7016,Q207961,is in,KG,,default
407,Q6516449,Q2416562,is with,KG,,default
408,Q309383,Q11472,is with,KG,,default
409,Q79782,Q1162163,is with,KG,,default
410,Q311666,Q5727902,scholars like,KG,,default
411,Q311666,Q5727902,Several scholars like,KG,,default
412,Q76738,Q1249682,has,KG,,default
413,This,Q7243545,was,Open_KG,head_,default
414,Q519967,Q768575,is with,KG,,default
415,Q13147,it,placing,Open_KG,tail_,default
416,Q13147,it,placing back,Open_KG,tail_,default
417,Q21162272,developed,were,Open_KG,tail_,default
418,Q21162272,Q45529,produce,KG,,default
419,Q21162272,Q45529,produce,KG,,default
420,Q466845,Q11424,is in,KG,,default
421,Q862454,Q25095218,were,KG,,default
422,Q21,1830s,is in,Open_KG,tail_,default
423,Q11469,Q29017603,is in,KG,,default
424,Q654393,Q1412049,is with,KG,,default
425,it,Q15807,tumble with,Open_KG,head_,default
426,Q1367,Q728,is with,KG,,default
427,Q651050,Q3975,is in,KG,,default
428,Q355242,Q33005760,often provided,KG,,default
429,Q1412049,could made,could,Open_KG,tail_,default
430,Q214981,Q210064,is with,KG,,default
431,Q18119757,1830s,is in,Open_KG,tail_,default
432,Q2995644,Q508993,was incorrectly attributed to,KG,,default
433,Q1400808,Q169342,is in,KG,,default
434,Q187860,However only recognized much later,was,Open_KG,tail_,default
435,Q37105,Q238231,is in,KG,,default
436,he,Q211364,aspects of,Open_KG,head_,default
437,Q8750,Q639907,coincidentally repeating,KG,,default
438,Q8750,some,coincidentally repeating,Open_KG,tail_,default
439,Q24290108,Q843905,is in,KG,,default
440,Q677115,Q238231,is in,KG,,default
441,Q33923,Q3282454,Several months later patented,KG,,default
442,Q3282454,Q40,is in,KG,,default
443,Q211364,1866,before zoetrope is,Open_KG,tail_,default
444,Q211364,Q1172965,before zoetrope is,KG,,default
445,Q79782,Q11424,is in,KG,,default
446,Q166142,Q588963,is in,KG,,default
447,Q6983156,Q11019,regarding,KG,,default
448,it,ever constructed,was,Open_KG,head_tail_,default
449,it,ever even constructed,was,Open_KG,head_tail_,default
450,Q1116908,Q1741,is in,KG,,default
451,12 lenses,Q478798,is with,Open_KG,head_,default
452,Q42962,Q218593,project,KG,,default
453,Q165282,Q90,is in,KG,,default
454,Q170924,Q53858110,is in,KG,,default
455,Q11469,Q37221,is with,KG,,default
456,Q238231,four lenses,is with,Open_KG,tail_,default
457,Q691823,Q6434802,is with,KG,,default
458,Q11469,Q185553,is with,KG,,default
459,Q28443678,Q1184989,discs,KG,,default
460,Q669592,Q1184989,has,KG,,default
461,Q478798,Q691823,improved version,KG,,default
462,Q305178,1839,is in,Open_KG,tail_,default
463,Q1003197,Q79782,is in,KG,,default
464,Q11633,Q26821253,be further developed into,KG,,default
465,Q7302910,Q79782,is with,KG,,default
466,Q133250,Q753532,is in,KG,,default
467,Q355549,Q133250,capture,KG,,default
468,Q21162272,Q79782,known as,KG,,default
469,Q21162272,Q79782,became much later,KG,,default
470,Q478798,Q12335479,16 in,KG,,default
471,Q9128,Q238231,screen behind,KG,,default
472,Q478798,Q11500,appear in,KG,,default
473,Q508993,Q82604,is in,KG,,default
474,Q1145523,Q1384245,is with,KG,,default
475,Q177413,Q1162163,has,KG,,default
476,He,would more difficult,thought,Open_KG,head_tail_,default
477,lenses,Q1145523,is in,Open_KG,head_,default
478,Q1145523,Q168468,is with,KG,,default
479,Q7991973,Q3331189,has,KG,,default
480,It,Q36161,has,Open_KG,head_,default
481,Q36161,Q188473,is in,KG,,default
482,their multiplicateur,Q3391846,images onto,Open_KG,head_,default
483,their,Q478798,multiplicateur,Open_KG,head_,default
484,Q34678,Q79782,could show repetitively,KG,,default
485,Claudet,Q148442,believed,Open_KG,head_,default
486,Q170198,Q12335479,is with,KG,,default
487,Q853614,Q188473,is in,KG,,default
488,Q3391846,dark,secured in,Open_KG,tail_,default
489,he,Q478798,project,Open_KG,head_,default
490,he,Q478798,project,Open_KG,head_,default
491,He,Q1395034,high hopes for,Open_KG,head_,default
492,Q190686,Q11469,is with,KG,,default
493,Q673627,Q84,is in,KG,,default
494,Q37148376,Q50000,is with,KG,,default
495,them,Q79782,represent objects in,Open_KG,head_,default
496,Q677115,Q715879,is in,KG,,default
497,Q54935824,Q12684,is in,KG,,default
498,Q238231,Q478798,is with,KG,,default
499,Q238231,Q3052382,is preserved in,KG,,default
500,Q1789383,Q1085,is in,KG,,default
501,Q238231,Q207902,showed,KG,,default
502,Q5749743,Q53858110,has,KG,,default
503,Q853614,Q188473,is in,KG,,default
504,Q3391846,dark,secured in,Open_KG,tail_,default
505,Q34132,Q478798,is with,KG,,default
506,Q2493660,Q11469,project image on,KG,,default
507,Q218273,Q7991973,is with,KG,,default
508,Q1138868,one,one by,Open_KG,tail_,default
509,Q691823,Q3391846,ensure,KG,,default
510,they,Q82794,were in,Open_KG,head_,default
511,Q164573,Q79782,is in,KG,,default
512,Q908349,Q60753252,DuMont,KG,,default
513,Q170924,Q478798,is in,KG,,default
514,Q184421,Q37105,is in,KG,,default
515,Q103184,Q39379,is in,KG,,default
516,it,Q148442,carry much further,Open_KG,head_,default
517,Q116434,kinesigraph,is with,Open_KG,tail_,default
518,Q178651,Q746801,is with,KG,,default
519,Q298581,Q49848,large photographic revolver to,KG,,default
520,Q339249,1874,is in,Open_KG,tail_,default
521,Q170382,Q478798,is with,KG,,default
522,Muybridge,Q382109,was hired by,Open_KG,head_,default
523,Muybridge,Q726,photograph,Open_KG,head_,default
524,Q41506,Q726,has,KG,,default
525,Q171558,Q595597,was documented in,KG,,default
526,Q7617864,Q47265,is in,KG,,default
527,Q869595,Q621303,is in,KG,,default
528,Muybridge,Q478798,has,Open_KG,head_,default
529,Q478798,Soon after published,were,Open_KG,tail_,default
530,Q478798,Soon after published,were,Open_KG,tail_,default
531,Q1412049,Q898700,were mostly seen as,KG,,default
532,Q898700,Q3966,is with,KG,,default
533,he,Q220330,called,Open_KG,head_,default
534,Q478798,Q11469,painted onto,KG,,default
535,Q181897,1881,is in,Open_KG,tail_,default
536,He,Q11424,would later make,Open_KG,head_,default
537,He,Q11424,would later make,Open_KG,head_,default
538,showing,practical,was,Open_KG,head_tail_,default
539,Q133250,Q6955,inventors in,KG,,default
540,Q205375,Q6955,is in,KG,,default
541,Muybridge,Q205375,'s sequences is,Open_KG,head_,default
542,making,practical,was,Open_KG,head_tail_,default
543,Q11028,Q41298,is in,KG,,default
544,Q23797,Q4227944,is with,KG,,default
545,Q5,Q190109,working in,KG,,default
546,Q253623,Q4227944,contact with,KG,,default
547,Q253623,Q25206207,contact by,KG,,default
548,Q42948,Q3016313,is in,KG,,default
549,Q3331189,Q11469,is with,KG,,default
550,Q311666,Q5293,is with,KG,,default
551,Q240854,Q64,is in,KG,,default
552,Q133250,Q4839635,is with,KG,,default
553,Q187947,Q7366,is with,KG,,default
554,Q1265070,Q90,is in,KG,,default
555,Q1395034,Q214078,developed during,KG,,default
556,Q214078,Q17737,is with,KG,,default
557,Q131841,Q478798,is with,KG,,default
558,Q6293,Q6955,was created in,KG,,default
559,he,Parkesine,initially called,Open_KG,head_tail_,default
560,Q1068155,Q11424,is in,KG,,default
561,Q604733,Q11424,is in,KG,,default
562,Q215408,Q11424,is in,KG,,default
563,Q11424,Q20649893,containing,KG,,default
564,Q6256,Q14775294,is with,KG,,default
565,Q10791,Q11424,is in,KG,,default
566,it,Q1361459,is,Open_KG,head_,default
567,Q156389,Q282049,is in,KG,,default
568,Q1068155,Q11424,is in,KG,,default
569,Q10791,Q11424,is in,KG,,default
570,Q10791,Q196626,is in,KG,,default
571,Q20649893,Q185529,are main feature of,KG,,default
572,Q154136,Q11424,is explicit In,KG,,default
573,Q154136,Q11424,is less explicit In,KG,,default
574,Q33999,Q11460,information on,KG,,default
575,Q4049121,while is shot,is,Open_KG,tail_,default
576,Q93288,Q1292520,apply too to,KG,,default
577,Almodóvar,included,is prolific,Open_KG,head_tail_,default
578,Q11424,Q3519050,are also notable for,KG,,default
579,Q11424,also notable,are,Open_KG,tail_,default
580,Q1255828,Q5873,is with,KG,,default
581,Q289054,Q1255828,caused,KG,,default
582,Q3411145,Q666017,subsidiary of,KG,,default
583,Q26950764,Q4503831,is with,KG,,default
584,Q728944,Q11424,is in,KG,,default
585,Q1255828,Q2087952,display of,KG,,default
586,Q217033,Q2087952,has,KG,,default
587,Q217033,1943,'s cleavage is,Open_KG,tail_,default
588,Q2087952,Q1521254,is in,KG,,default
589,Q9103,Q152095,is in,KG,,default
590,Q33999,Q46767,used by,KG,,default
591,he,Q9103,enhance even further,Open_KG,head_,default
592,he,Q9103,enhance,Open_KG,head_,default
593,Q24238946,Q30,is in,KG,,default
594,Q5873,Q24238946,receive,KG,,default
