,0,coref_text
0,"Dolby 3D ( formerly known as Dolby 3D Digital Cinema ) is a marketing name for a system from Dolby Laboratories , Inc. to show three - dimensional motion pictures in a digital cinema . 


 = = Technology = = 
 Dolby 3D uses a Dolby Digital Cinema projector that can show both 2D and 3D films . For 3D presentations , an alternate color wheel is placed in a Dolby Digital Cinema projector that can show both 2D and 3D films . an alternate color wheel contains one more set of red , green , and blue filters in addition to the red , green , and blue filters found on a typical color wheel . one more set of red , green , and blue filters are able to produce the same color gamut as the original three filters , but transmit light at different wavelengths . Glasses with complementary dichroic filters in the lenses are worn , which filter out either one or the other set of three light wavelengths . In this way , one projector can display the left and right stereoscopic images simultaneously . This method of stereoscopic projection is called wavelength multiplex visualization , and was created by Infitec . complementary dichroic filters in the lenses are more expensive and fragile than the glasses technology used in circular polarization systems like RealD Cinema or linear polarization systems like Digital IMAX and are not considered disposable . However , an important benefit of Dolby 3D in comparison with RealD Cinema is that Dolby 3D works with conventional projection screens . Dolby 3D also produces a brighter and sharper 3D image than RealD Cinema and is able to be comfortably viewed on outdoor cinema screens and drive - in cinemas . 


 = = Gallery = = 

		
		


 = = References = =",
0,"The decade of the 1890s in film involved some significant events . 


 = = Events = = 

 1890 – Wordsworth Donisthorpe and W. C. Crofts film London 's Trafalgar Square using a camera patented in 1889 . 
 1891 – Following the work of Eadweard Muybridge , Étienne - Jules Marey , and George Eastman , Thomas Edison employee William K. L. Dickson finishes work on a motion - picture camera and a viewing machine called the Kinetoscope . 
 May 20 , 1891 – Thomas Edison holds the first public presentation of Thomas Edison Kinetoscope for the National Federation of Women 's Clubs . 
 August 24 , 1891 – Thomas Edison files for a patent of a viewing machine called the Kinetoscope . 
 1892 – In France , Charles - Émile Reynaud began to have public screenings in Paris at the Théâtre Optique , with hundreds of drawings on a reel that Charles - Émile Reynaud wound through Charles - Émile Reynaud Zoetrope projector to construct moving images that continued for 15 minutes . 
 1892 – The Eastman Company becomes the Eastman Kodak Company . 
 March 14 , 1893 – Thomas Edison is granted Patent # 493,426 for "" An Apparatus for Exhibiting Photographs of Moving Objects "" ( the Kinetoscope ) . 
 1893 – Thomas Edison builds a motion - picture studio near Thomas Edison laboratory , dubbed the "" Black Maria "" by Thomas Edison staff . 
 May 9 , 1893 – In America , Thomas Edison holds the first public exhibition of films shot using Thomas Edison Kinetograph at the Brooklyn Institute . Unfortunately , only one person at a time could use Thomas Edison Kinetoscope viewing machine . 
 January 7 , 1894 – Thomas Edison films Thomas Edison assistant , Fred Ott sneezing with a viewing machine called the Kinetoscope at a motion - picture studio near Thomas Edison laboratory , dubbed the "" Black Maria "" . 
 April 14 , 1894 – The first commercial presentation of a viewing machine called the Kinetoscope takes place in the Holland Brothers ' Kinetoscope Parlor at 1155 Broadway , New York City . 
 1894 – Kinetoscope viewing parlors begin to open in major cities . Each parlor contains several machines . 
 1895 – In France , brothers named Auguste and Louis Lumière design and build a lightweight , hand - held motion picture camera called the Cinématographe . brothers named Auguste and Louis Lumière discover that brothers named Auguste and Louis Lumière machine can also be used to project images onto a large screen . brothers named Auguste and Louis Lumière create se",
0,"Precursors of film are concepts and devices that have much in common with the later art and techniques of cinema . 

 Precursors of film are often referred to as precinema , or ' pre - cinema ' . Terms like these are disliked by several historians , partly because Terms like these seem to devalue the individual qualities of these media by presenting these media as a small step in the development of a later invention . For instance : the flip book , zoetrope and phenakistiscope are very tactile devices that allow study and play by manipulating the motion by hand , while the projected image in cinema is intangible . Such devices as the zoetrope were not replaced by cinema : Such devices as the zoetrope were still used after the breakthrough of film . Furthermore , many early media examples are also part of a tradition that not only shaped cinema , but also home video , video games , computer - generated imagery , virtual reality and much more . The study of early media devices is also part of a wider and less teleological approach called media archaeology . 
 Many of the devices that can be interpreted as precursors of film are also referred to as "" philosophical toys "" , or "" optical toys "" . 


 = = Theatre = = 
 In the early days of film the word "" photoplay "" was quite commonly used for motion pictures . used illustrates how a movie can be thought of as a photographed play . Much of the production for a live - action movie is similar to that of a theatre play , with very similar contributions by actors , a theatre director / film director , producers , a set designer , lighting designer , costume designer , composer , etc . Much terminology later used in film theory and film criticism was already applied for theatre , such as mise en scene . 
 Many early films by Edison 's company , Max Skladanowsky and other pioneers , consisted of popular vaudeville acts performed in front of a camera instead of an audience . The famous movie pioneer Georges Méliès was a theatre owner and illusionist who treated film as a means to create spectacles that were even more impressive than",
0,"Sex in film is the presentation of aspects of human sexuality in film . The presence in films of any form of sexuality has been controversial since the development of film . Some films containing such sexuality have been criticized by religious groups or have been banned or the subject of censorship by governments , or both . In countries with a film rating system , films containing sex scenes typically receive a restricted classification . Nudity in film may be regarded as sexual or as non - sexual . 
 An erotic film is usually a film that has an erotic quality that may create sexual feelings , as well as a philosophical contemplation concerning the aesthetics of sexual desire , sensuality and romantic love . 
 Sex or erotic scenes are to be found in a wide range of genres and sub - genres , with genres that have a sexual or erotic component typically including the term “ erotic ” in genres that have a sexual or erotic component description — such as erotic dramas , erotic thrillers , sex comedies , coming - of - age films , romantic dramas , besides others . Love scenes , erotic or not , have been present in films since the silent era of cinematography . A pornographic film , on the other hand , is a sex film which does not usually claim any artistic merit . Sex scenes have been presented in many genres of film , although there are some in which Sex scenes is rare . Many actors and actresses have performed nude or partial nude scenes , or have dressed and behaved in ways considered sexually provocative by contemporary standards at some point in Many actors and actresses careers . 


 = = Terminology = = 
 Sex in film can be distinguished from a sex film , which usually refers to a pornographic film and sometimes to a sex education film . Sex in film should also be distinguished from nudity in film , though nudity can be presented in a sexualized context . For example , nudity in the context of naturism would normally be regarded as non - sexual . Some people distinguish between "" gratuitous sex "" and sex scenes which are presented as integral to a film 's plot or as part of the character deve",
0,"Conscience Films ( also known as Vicdan Filmleri in Turkish , and Խղճմտանքի Ֆիլմեր   in Armenian ) is a short film competition organized by the Hrant Dink Foundation . Conscience Films was founded in memory of Hrant Dink . According to Dença Kartun , the project coordinator at the Hrant Dink Foundation for the Films about Conscience project , words by Hrant Dink inspired the Films about Conscience project . "" The voice of conscience has been sentenced to silence . Now , The voice of conscience is searching for a way out , "" said Hrant Dink . The participants are asked to make a short movie of at most five minutes on the topic of looking at the world through our conscience . The winning movies are determined by the votes of international jury members . Both professional and amateur filmmakers are invited to submit Both professional and amateur filmmakers short movies . 


 = = 2010 Competition = = 
 The jury in 2010 consisted of Costa Gavras , Georges Moustaki , Harutyun Khachatryan , İbrahim Betil , Lale Mansur , Nebahat Akkoç , Ömer Madra , Rakel Dink , Rela Mazali , Serge Avedikian , Serra Yılmaz , Vaughan Pilikian , and Yıldırım Türker . The first edition of the Films about Conscience project , attracted a total of 107 short films from various countries including Britain , France , Germany and USA as well as Turkey and Armenia . 107 short films were screened at the Istanbul , Tunceli , and Gaziantep film festivals . After screened , 19 of 107 short films met the audience in Yerevan , capital of Armenia . 19 of 107 short films were shown within the scope of Yerevan International Film Festival in July 2011 . 


 = = = 2010 Results = = = 
 The 21 best movies as determined by the jury : 


 = = 2011 Competition = = 
 The jury for films about conscience 2011 has been appointed . The jury for films about conscience 2011 consists of Arsinee Khanjian , Costa Gavras , Cüneyt Cebenoyan , Ferzan Özpetek , Hale Soygazi , Nadje Al - Ali , Rakel Dink , and Serge Avedikian . The deadline for film submission is October 15 , 2011 . A special DVD will include the top 20 movies selected by the jury",
0,Articles relating to the Cinema of the United States by the ethnicity involved .,
0,"The photoplayer is an automatic mechanical orchestra used by movie theatres to produce photoplay music to accompany silent films . 


 = = Operation = = 
 The central instruments in a photo player were a piano and percussion ; some machines also added pipe organs and methods for manually creating sound effects . Like a player piano , The photoplayer played music automatically by reading piano rolls ( rolls of paper with perforations ) , but The photoplayer could hold two rolls : one that would play while the other was prepared . Common sound effects included gunshots , bells and drums , which were generated by pulling chains called "" cow - tails "" . Some photo players feature electric sound effects , such as sirens , automobile horns , and other oddities . A photo player operator had to load the paper rolls , start The photoplayer and add the manual sound effects and percussion using chains called "" cow - tails "" . 


 = = History = = 
 Approximately 8,000 to 10,000 photoplayers were produced during the boom era of silent films , between 1910 and 1928 . Around a dozen manufacturers produced Approximately 8,000 to 10,000 photoplayers , including the American Photo Player Company , which made the Fotoplayer ; the Operators Piano Company of Chicago , which made the Reproduco ; The Bartola Musical Instrument Company of Oshkosh , Wisconsin , maker of The Bartola Musical Instrument Company of Oshkosh , Wisconsin , maker of ; Seeburg ; and Wurlitzer . The popularity of the photoplayer sharply declined in the mid-1920s as silent films were replaced by sound films , and few machines still exist today . 


 = = See also = = 
 Theatre organs : played by an organist , Theatre organs could produce a wider range of sound and were popular in larger theatres 
 American Fotoplayer , a type of photoplayer by the American Photo Player Company , which made the Fotoplayer 


 = = References = = 


 = = External links = = 
 A photoplayer in action 
 Joe Rinaudo playing the Fotoplayer on "" California 's Gold with Huell Howser "" 
 Photoplayer & Silent Film projector",
0,"As a film suicide is a not particularly uncommon plot device , only include films here which depict a suicide that is notable or controversial . Films which focus on suicide should be added to the appropriate subcategory .",
0,"Related to closet drama , a closet screenplay is a screenplay intended not to be produced / performed but instead to be read by a solitary reader or , sometimes , out loud in a small group . 
 While any published , or simply read , screenplay might reasonably be considered a "" closet screenplay , "" 20th- and 21st - century Japanese and Western writers have created a handful of film scripts expressly intended to be read rather than produced / performed . This class of prose fiction written in screenplay form is perhaps the most precise example of the closet screenplay . 
 This genre is sometimes referred to using a romanized Japanese neologism : "" Lesescenario ( レーゼシナリオ ) "" or , following Hepburn ’s romanization of Japanese , sometimes “ Rezeshinario . ” A portmanteau of the German word Lesedrama ( "" read drama "" ) and the English word scenario , A portmanteau of the German word Lesedrama ( "" read drama "" ) and the English word scenario simply means "" closet scenario , "" or , by extension , "" closet screenplay . "" 


 = = Critical interest = = 
 Brian Norman , an assistant professor at Idaho State University , refers to James Baldwin 's One Day When I Was Lost as a "" closet screenplay . "" The screenplay was written for a project to produce a movie , but a project to produce a movie suffered a setback . After suffered , The screenplay was published as a literary work . 
 Lee Jamieson 's article "" The Lost Prophet of Cinema : The Film Theory of Antonin Artaud "" discusses Antonin Artaud three Lesescenarios ( listed below ) in the context of Antonin Artaud "" revolutionary film theory . "" And in French Film Theory and Criticism : 1907–1939 , Richard Abel lists the following critical treatments of several of the Surrealist "" published scenario texts "" ( 36 ) listed in the example section below : 

 J. H. Matthews , Surrealism and Film ( U of Michigan P , 1971 ) , 51–76 . 
 Steven Kovács , From Enchantment to Rage : The Story of Surrealist Cinema ( Associated UP , 1980 ) , 59–61 , 157–76 . 
 Linda Williams , Figures of Desire : A Theory and Analysis of Surrealist Film ( U of Illinois P , 1981 ) , 25–33 . 
 Richard Abel , "" Exploring the Discursive Field of the Surrealist Film Scenario Text , "" Dada / Surrea",
0,"This is a list of television specials based on the Looney Tunes series of theatrical animated shorts . Note all specials were originally aired in prime - time unless otherwise noted . 


 = = Original specials = = 


 = = Anniversary specials = = 


 = = Specials with reused footage = = 


 = = VHS retitling = = 
 Several of television specials based on the Looney Tunes series of theatrical animated shorts were given a new name when released on video . 


 = = See also = = 
 Looney Tunes and Merrie Melodies filmography 
 Looney Tunes 
 Merrie Melodies 
 Looney Tunes Golden Collection 


 = = Notes = = 


 = = Further reading = = 
 Looney Tunes and Merrie Melodies : A Complete Illustrated Guide to the Warner Bros. Cartoons , by Jerry Beck and Will Friedwald ( 1989 ) , Henry Holt , ISBN 0 - 8050 - 0894 - 2 
 Chuck Amuck : The Life and Times of an Animated Cartoonist by Chuck Jones , published by Farrar Straus & Giroux , ISBN 0 - 374 - 12348 - 9 
 That 's Not All , Folks ! by Mel Blanc , Philip Bashe . Warner Books , ISBN 0 - 446 - 39089 - 5 ( Softcover ) ISBN 0 - 446 - 51244 - 3 ( Hardcover ) 
 Of Mice and Magic : A History of American Animated Cartoons , Leonard Maltin , Revised Edition 1987 , Plume ISBN 0 - 452 - 25993 - 2 ( Softcover ) ISBN 0 - 613 - 64753-X ( Hardcover ) 


 = = External links = = 
 The Big Cartoon DataBase entry for Merrie Melodies Cartoons and for Looney Tunes Cartoons 
 Golden Age Cartoons ' The Ultimate Looney Tunes and Merrie Melodies Website by Jon Cooke 
 "" Warner Brothers Cartoon Companion "" , a wealth of trivia about the Warner cartoons 
 Official site",
