,h,t,r,type,newEntities,pair_c,ori_head_text,ori_relation_text,ori_tail_text
56,Q506215,.,formally,Open_KG,tail_,0.03387114964425564,Wake County,formally,.
57,Q506215,.,integrate,Open_KG,tail_,0.03766409680247307,Wake County,integrate,.
58,Q506215,.,formally,Open_KG,tail_,0.03387114964425564,Wake County,formally,.
59,Q5035460,Q498805,mountain,KG,,0.049894604831933975,The Capital Area Greenway,mountain,Sea
60,Q15989253,Q498805,mountain,KG,,0.0446406826376915,Portions,mountain,Sea
61,Q7401,Q498805,mountain,KG,,0.04199511557817459,part,mountain,Sea
62,Q58778,Q498805,mountain,KG,,0.04911331832408905,larger national and regional trail system,mountain,Sea
63,Q5328119,Q498805,mountain,KG,,0.07357612252235413,the East Coast Greenway,mountain,Sea
64,Q5326571,.,become,Open_KG,tail_,0.041815781965851784,the early 1970s,become,.
65,Q5326571,.,around,Open_KG,tail_,0.03822721354663372,the early 1970s,around,.
66,Q5326571,.,increasingly,Open_KG,tail_,0.05000063870102167,the early 1970s,increasingly,.
67,Q5326571,.,increasingly,Open_KG,tail_,0.05000063870102167,the early 1970s,increasingly,.
68,Q5326571,Q191145,become,KG,,0.08354238606989384,the early 1970s,become,growth
69,Q5326571,Q191145,increasingly,KG,,0.06853419169783592,the early 1970s,increasingly,growth
70,Q5326571,.,become,Open_KG,tail_,0.041815781965851784,the early 1970s,become,.
71,Q5326571,.,around,Open_KG,tail_,0.03822721354663372,the early 1970s,around,.
72,Q5326571,Q515,around,KG,,0.06007762998342514,the early 1970s,around,the city
73,Q5326571,Q515,increasingly,KG,,0.05083439499139786,the early 1970s,increasingly,the city
74,Q5326571,Q515,become,KG,,0.04479439742863178,the early 1970s,become,the city
75,Q2472587,.,increasingly,Open_KG,tail_,0.06440271530300379,some citizens,increasingly,.
76,Q2472587,.,around,Open_KG,tail_,0.040530161932110786,some citizens,around,.
77,Q2472587,.,become,Open_KG,tail_,0.04228482395410538,some citizens,become,.
78,Q2472587,Q191145,increasingly,KG,,0.08293626829981804,some citizens,increasingly,growth
79,Q2472587,Q191145,become,KG,,0.08401142805814743,some citizens,become,growth
80,Q2472587,Q515,become,KG,,0.045263439416885376,some citizens,become,the city
81,Q2472587,Q515,increasingly,KG,,0.06523647159337997,some citizens,increasingly,the city
82,Q2472587,Q515,around,KG,,0.062380578368902206,some citizens,around,the city
83,Q2472587,.,increasingly,Open_KG,tail_,0.06440271530300379,some citizens,increasingly,.
84,Q2472587,.,become,Open_KG,tail_,0.04228482395410538,some citizens,become,.
85,Q2472587,.,around,Open_KG,tail_,0.040530161932110786,some citizens,around,.
86,Q50602,.,become,Open_KG,tail_,0.04222320765256882,the City,become,.
87,Q50602,.,around,Open_KG,tail_,0.03622627817094326,the City,around,.
88,Q50602,.,increasingly,Open_KG,tail_,0.0353453578427434,the City,increasingly,.
89,Q50602,Q191145,increasingly,KG,,0.05387891083955765,the City,increasingly,growth
90,Q50602,Q191145,become,KG,,0.08394981175661087,the City,become,growth
91,Q50602,Q515,around,KG,,0.05807669460773468,the City,around,the city
92,Q50602,Q515,become,KG,,0.045201823115348816,the City,become,the city
93,Q50602,Q515,increasingly,KG,,0.03617911413311958,the City,increasingly,the city
94,Q50602,.,become,Open_KG,tail_,0.04222320765256882,the City,become,.
95,Q50602,.,around,Open_KG,tail_,0.03622627817094326,the City,around,.
96,Q50602,.,increasingly,Open_KG,tail_,0.0353453578427434,the City,increasingly,.
97,Q191145,.,around,Open_KG,tail_,0.051553087309002876,growth,around,.
98,Q191145,Q515,around,KG,,0.0734035037457943,growth,around,the city
99,Q191145,.,around,Open_KG,tail_,0.051553087309002876,growth,around,.
100,Q11471,Q161078,think,KG,,0.07633865624666214,the time,think,the increasing urbanization
101,Q11471,Q515,think,KG,,0.05455775745213032,the time,think,the city
102,Q11471,Q515,destroy,KG,,0.08133576437830925,the time,destroy,the city
103,Q11471,Q43619,destroy,KG,,0.08954354375600815,the time,destroy,Raleigh natural environment
104,Q11471,Q43619,think,KG,,0.075571708381176,the time,think,Raleigh natural environment
105,Q11471,characteristics,think,Open_KG,tail_,0.09872309863567352,the time,think,characteristics
106,Q11471,characteristics,destroy,Open_KG,tail_,0.0942782573401928,the time,destroy,characteristics
107,Q161078,Q515,destroy,KG,,0.09481111541390419,the increasing urbanization,destroy,the city
108,Q161078,characteristics,destroy,Open_KG,tail_,0.10775360837578773,the increasing urbanization,destroy,characteristics
109,Q161078,Q43619,destroy,KG,,0.10301889479160309,the increasing urbanization,destroy,Raleigh natural environment
110,Q50602,Q6785078,respond,KG,,0.09997628629207611,City officials,respond,' The Greenway Master Plan
111,Q50602,Q206361,respond,KG,,0.17568928748369217,City officials,respond,the concerns
112,Q131841,.,commission,Open_KG,tail_,0.05526144988834858,The idea,commission,.
113,Q131841,.,commission,Open_KG,tail_,0.04302405007183552,The idea,commission,.
114,Q131841,.,start,Open_KG,tail_,0.06352205201983452,The idea,start,.
115,Q131841,.,advisory,Open_KG,tail_,0.04479324445128441,The idea,advisory,.
116,Q131841,Q2445751,start,KG,,0.07028158754110336,The idea,start,Recreation
117,Q131841,Q715935,start,KG,,0.07272606901824474,The idea,start,Parks
118,Q131841,Q49848,commission,KG,,0.07059023156762123,The idea,commission,a document
119,Q131841,Q49848,commission,KG,,0.08890917152166367,The idea,commission,a document
120,Q131841,Q49848,start,KG,,0.07849241979420185,The idea,start,a document
121,Q131841,Q49848,advisory,KG,,0.05340232886373997,The idea,advisory,a document
122,Q131841,.,advisory,Open_KG,tail_,0.04479324445128441,The idea,advisory,.
123,Q131841,.,start,Open_KG,tail_,0.06352205201983452,The idea,start,.
124,Q131841,.,commission,Open_KG,tail_,0.05526144988834858,The idea,commission,.
125,Q131841,.,commission,Open_KG,tail_,0.04302405007183552,The idea,commission,.
126,Q715935,.,commission,Open_KG,tail_,0.04856389947235584,Parks,commission,.
127,Q715935,.,commission,Open_KG,tail_,0.04602646827697754,Parks,commission,.
128,Q715935,.,advisory,Open_KG,tail_,0.05295510031282902,Parks,advisory,.
129,Q715935,Q49848,advisory,KG,,0.061564184725284576,Parks,advisory,a document
130,Q715935,Q49848,commission,KG,,0.08221162110567093,Parks,commission,a document
131,Q715935,.,advisory,Open_KG,tail_,0.05295510031282902,Parks,advisory,.
132,Q715935,Q49848,commission,KG,,0.07359264977276325,Parks,commission,a document
133,Q715935,.,commission,Open_KG,tail_,0.04602646827697754,Parks,commission,.
134,Q715935,.,commission,Open_KG,tail_,0.04856389947235584,Parks,commission,.
135,Q2445751,.,commission,Open_KG,tail_,0.047844331711530685,Recreation,commission,.
136,Q2445751,.,commission,Open_KG,tail_,0.05739678628742695,Recreation,commission,.
137,Q2445751,.,advisory,Open_KG,tail_,0.0511570293456316,Recreation,advisory,.
138,Q2445751,Q49848,commission,KG,,0.08149205334484577,Recreation,commission,a document
139,Q2445751,.,commission,Open_KG,tail_,0.05739678628742695,Recreation,commission,.
140,Q2445751,Q49848,commission,KG,,0.08496296778321266,Recreation,commission,a document
141,Q2445751,.,commission,Open_KG,tail_,0.047844331711530685,Recreation,commission,.
142,Q2445751,Q49848,advisory,KG,,0.05976611375808716,Recreation,advisory,a document
143,Q2445751,.,advisory,Open_KG,tail_,0.0511570293456316,Recreation,advisory,.
144,Q49848,Q50602,call,KG,,0.04598233290016651,a document,call,a City
145,Q49848,Q50602,Raleigh,KG,,0.04757151938974857,a document,Raleigh,a City
146,Q49848,Q715935,Raleigh,KG,,0.06525964476168156,a document,Raleigh,The Park
147,Q49848,Q715935,call,KG,,0.05550031550228596,a document,call,The Park
148,Q7286898,Q715935,call,KG,,0.05730539932847023,the Raleigh City Council,call,The Park
149,Q7286898,Q50602,Raleigh,KG,,0.08160173147916794,the Raleigh City Council,Raleigh,a City
150,Q7286898,Q715935,Raleigh,KG,,0.09928985685110092,the Raleigh City Council,Raleigh,The Park
151,Q7286898,Q50602,call,KG,,0.047787416726350784,the Raleigh City Council,call,a City
152,Q49848,Q42139305,find,KG,,0.05032065697014332,a document,find,the natural features
153,Q49848,Q2249676,find,KG,,0.03279564343392849,a document,find,already distinctive environment
154,Q49848,Q2249676,enhance,KG,,0.027941687498241663,a document,enhance,already distinctive environment
155,Q49848,Q2249676,economically,KG,,0.017311931122094393,a document,economically,already distinctive environment
156,Q49848,Q2249676,create,KG,,0.019367375411093235,a document,create,already distinctive environment
157,Q49848,Q2249676,financially,KG,,0.02508327830582857,a document,financially,already distinctive environment
158,Q49848,Q2249676,sound,KG,,0.016039261128753424,a document,sound,already distinctive environment
159,Q49848,Q2249676,find,KG,,0.03279564343392849,a document,find,already distinctive environment
160,Q49848,Q2249676,financially,KG,,0.02508327830582857,a document,financially,already distinctive environment
161,Q49848,Q2249676,enhance,KG,,0.027941687498241663,a document,enhance,already distinctive environment
162,Q49848,Q2249676,create,KG,,0.019367375411093235,a document,create,already distinctive environment
163,Q49848,Q2249676,economically,KG,,0.017311931122094393,a document,economically,already distinctive environment
164,Q49848,Q2249676,sound,KG,,0.016039261128753424,a document,sound,already distinctive environment
165,Q49848,Q141488,create,KG,,0.035718001425266266,a document,create,a network
166,Q49848,Q141488,find,KG,,0.029845341108739376,a document,find,a network
167,Q49848,Q141488,financially,KG,,0.02879003994166851,a document,financially,a network
168,Q49848,Q22698,create,KG,,0.05359587445855141,a document,create,parks
169,Q49848,Q141488,sound,KG,,0.02162062283605337,a document,sound,a network
170,Q49848,Q141488,economically,KG,,0.020242747850716114,a document,economically,a network
171,Q49848,Q22698,economically,KG,,0.03833668865263462,a document,economically,parks
172,Q49848,Q22698,financially,KG,,0.0352584533393383,a document,financially,parks
173,Q49848,Q22698,find,KG,,0.03555227257311344,a document,find,parks
174,Q49848,Q22698,sound,KG,,0.01932623330503702,a document,sound,parks
175,Q49848,Q7096237,financially,KG,,0.027021191082894802,a document,financially,) green open space
176,Q49848,Q7096237,create,KG,,0.02399221435189247,a document,create,) green open space
177,Q49848,Q7096237,find,KG,,0.028805477544665337,a document,find,) green open space
178,Q49848,Q7096237,economically,KG,,0.020251788198947906,a document,economically,) green open space
179,Q49848,Q7096237,sound,KG,,0.020051523111760616,a document,sound,) green open space
180,Q49848,Q2249676,find,KG,,0.03279564343392849,a document,find,already distinctive environment
181,Q49848,Q2249676,enhance,KG,,0.027941687498241663,a document,enhance,already distinctive environment
182,Q49848,Q2249676,financially,KG,,0.02508327830582857,a document,financially,already distinctive environment
183,Q49848,Q2249676,create,KG,,0.019367375411093235,a document,create,already distinctive environment
184,Q49848,Q2249676,economically,KG,,0.017311931122094393,a document,economically,already distinctive environment
185,Q49848,Q2249676,sound,KG,,0.016039261128753424,a document,sound,already distinctive environment
186,Q49848,Q2249676,find,KG,,0.03279564343392849,a document,find,already distinctive environment
187,Q49848,Q2249676,enhance,KG,,0.027941687498241663,a document,enhance,already distinctive environment
188,Q49848,Q2249676,financially,KG,,0.02508327830582857,a document,financially,already distinctive environment
189,Q49848,Q2249676,create,KG,,0.019367375411093235,a document,create,already distinctive environment
190,Q49848,Q2249676,economically,KG,,0.017311931122094393,a document,economically,already distinctive environment
191,Q49848,Q2249676,sound,KG,,0.016039261128753424,a document,sound,already distinctive environment
192,Q49848,Q2249676,find,KG,,0.03279564343392849,a document,find,already distinctive environment
193,Q49848,Q2249676,enhance,KG,,0.027941687498241663,a document,enhance,already distinctive environment
194,Q49848,Q2249676,financially,KG,,0.02508327830582857,a document,financially,already distinctive environment
195,Q49848,Q2249676,create,KG,,0.019367375411093235,a document,create,already distinctive environment
196,Q49848,Q2249676,economically,KG,,0.017311931122094393,a document,economically,already distinctive environment
197,Q49848,Q2249676,sound,KG,,0.016039261128753424,a document,sound,already distinctive environment
198,Q49848,Q184872,insure,KG,,0.03531333897262812,a document,insure,adequate recreation facilities
199,Q49848,Q184872,find,KG,,0.03373169433325529,a document,find,adequate recreation facilities
200,Q49848,Q184872,financially,KG,,0.02760405372828245,a document,financially,adequate recreation facilities
201,Q49848,Q184872,economically,KG,,0.022139000706374645,a document,economically,adequate recreation facilities
202,Q49848,Q184872,create,KG,,0.02117059100419283,a document,create,adequate recreation facilities
203,Q49848,Q184872,enhance,KG,,0.019986973609775305,a document,enhance,adequate recreation facilities
204,Q49848,Q184872,sound,KG,,0.01581775350496173,a document,sound,adequate recreation facilities
205,Q49848,Q344,find,KG,,0.03258263599127531,a document,find,the future
206,Q49848,Q344,financially,KG,,0.027373197488486767,a document,financially,the future
207,Q49848,Q344,create,KG,,0.020036394242197275,a document,create,the future
208,Q49848,Q344,insure,KG,,0.02133649867027998,a document,insure,the future
209,Q49848,Q344,economically,KG,,0.019721081480383873,a document,economically,the future
210,Q49848,Q344,sound,KG,,0.015230146702378988,a document,sound,the future
211,Q49848,Q344,enhance,KG,,0.0140792322345078,a document,enhance,the future
212,Q7286898,Q42139305,find,KG,,0.044807638972997665,the Raleigh City Council,find,the natural features
213,Q7286898,Q2249676,enhance,KG,,0.027723921462893486,the Raleigh City Council,enhance,already distinctive environment
214,Q7286898,Q2249676,find,KG,,0.027282625436782837,the Raleigh City Council,find,already distinctive environment
215,Q7286898,Q2249676,financially,KG,,0.019095279276371002,the Raleigh City Council,financially,already distinctive environment
216,Q7286898,Q2249676,create,KG,,0.016109162010252476,the Raleigh City Council,create,already distinctive environment
217,Q7286898,Q2249676,sound,KG,,0.015357008669525385,the Raleigh City Council,sound,already distinctive environment
218,Q7286898,Q2249676,economically,KG,,0.013573575299233198,the Raleigh City Council,economically,already distinctive environment
219,Q7286898,Q2249676,enhance,KG,,0.027723921462893486,the Raleigh City Council,enhance,already distinctive environment
220,Q7286898,Q2249676,financially,KG,,0.019095279276371002,the Raleigh City Council,financially,already distinctive environment
221,Q7286898,Q2249676,find,KG,,0.027282625436782837,the Raleigh City Council,find,already distinctive environment
222,Q7286898,Q2249676,create,KG,,0.016109162010252476,the Raleigh City Council,create,already distinctive environment
223,Q7286898,Q2249676,economically,KG,,0.013573575299233198,the Raleigh City Council,economically,already distinctive environment
224,Q7286898,Q2249676,sound,KG,,0.015357008669525385,the Raleigh City Council,sound,already distinctive environment
225,Q7286898,Q141488,create,KG,,0.03245978802442551,the Raleigh City Council,create,a network
226,Q7286898,Q141488,find,KG,,0.024332323111593723,the Raleigh City Council,find,a network
227,Q7286898,Q141488,financially,KG,,0.02280204091221094,the Raleigh City Council,financially,a network
228,Q7286898,Q141488,sound,KG,,0.020938370376825333,the Raleigh City Council,sound,a network
229,Q7286898,Q141488,economically,KG,,0.01650439202785492,the Raleigh City Council,economically,a network
230,Q7286898,Q22698,create,KG,,0.05033766105771065,the Raleigh City Council,create,parks
231,Q7286898,Q22698,economically,KG,,0.034598332829773426,the Raleigh City Council,economically,parks
232,Q7286898,Q22698,find,KG,,0.03003925457596779,the Raleigh City Council,find,parks
233,Q7286898,Q22698,financially,KG,,0.029270454309880733,the Raleigh City Council,financially,parks
234,Q7286898,Q22698,sound,KG,,0.018643980845808983,the Raleigh City Council,sound,parks
235,Q7286898,Q7096237,find,KG,,0.023292459547519684,the Raleigh City Council,find,) green open space
236,Q7286898,Q7096237,financially,KG,,0.021033192053437233,the Raleigh City Council,financially,) green open space
237,Q7286898,Q7096237,create,KG,,0.020734000951051712,the Raleigh City Council,create,) green open space
238,Q7286898,Q7096237,sound,KG,,0.019369270652532578,the Raleigh City Council,sound,) green open space
239,Q7286898,Q7096237,economically,KG,,0.016513432376086712,the Raleigh City Council,economically,) green open space
240,Q7286898,Q2249676,enhance,KG,,0.027723921462893486,the Raleigh City Council,enhance,already distinctive environment
241,Q7286898,Q2249676,find,KG,,0.027282625436782837,the Raleigh City Council,find,already distinctive environment
242,Q7286898,Q2249676,financially,KG,,0.019095279276371002,the Raleigh City Council,financially,already distinctive environment
243,Q7286898,Q2249676,create,KG,,0.016109162010252476,the Raleigh City Council,create,already distinctive environment
244,Q7286898,Q2249676,sound,KG,,0.015357008669525385,the Raleigh City Council,sound,already distinctive environment
245,Q7286898,Q2249676,economically,KG,,0.013573575299233198,the Raleigh City Council,economically,already distinctive environment
246,Q7286898,Q2249676,enhance,KG,,0.027723921462893486,the Raleigh City Council,enhance,already distinctive environment
247,Q7286898,Q2249676,find,KG,,0.027282625436782837,the Raleigh City Council,find,already distinctive environment
248,Q7286898,Q2249676,financially,KG,,0.019095279276371002,the Raleigh City Council,financially,already distinctive environment
249,Q7286898,Q2249676,create,KG,,0.016109162010252476,the Raleigh City Council,create,already distinctive environment
250,Q7286898,Q2249676,sound,KG,,0.015357008669525385,the Raleigh City Council,sound,already distinctive environment
251,Q7286898,Q2249676,economically,KG,,0.013573575299233198,the Raleigh City Council,economically,already distinctive environment
252,Q7286898,Q2249676,enhance,KG,,0.027723921462893486,the Raleigh City Council,enhance,already distinctive environment
253,Q7286898,Q2249676,find,KG,,0.027282625436782837,the Raleigh City Council,find,already distinctive environment
254,Q7286898,Q2249676,financially,KG,,0.019095279276371002,the Raleigh City Council,financially,already distinctive environment
255,Q7286898,Q2249676,create,KG,,0.016109162010252476,the Raleigh City Council,create,already distinctive environment
256,Q7286898,Q2249676,sound,KG,,0.015357008669525385,the Raleigh City Council,sound,already distinctive environment
257,Q7286898,Q2249676,economically,KG,,0.013573575299233198,the Raleigh City Council,economically,already distinctive environment
258,Q7286898,Q184872,insure,KG,,0.032711745239794254,the Raleigh City Council,insure,adequate recreation facilities
259,Q7286898,Q184872,find,KG,,0.028218676336109638,the Raleigh City Council,find,adequate recreation facilities
260,Q7286898,Q184872,financially,KG,,0.021616054698824883,the Raleigh City Council,financially,adequate recreation facilities
261,Q7286898,Q184872,enhance,KG,,0.019769207574427128,the Raleigh City Council,enhance,adequate recreation facilities
262,Q7286898,Q184872,economically,KG,,0.01840064488351345,the Raleigh City Council,economically,adequate recreation facilities
263,Q7286898,Q184872,create,KG,,0.01791237760335207,the Raleigh City Council,create,adequate recreation facilities
264,Q7286898,Q184872,sound,KG,,0.01513550104573369,the Raleigh City Council,sound,adequate recreation facilities
265,Q7286898,Q344,find,KG,,0.027069617994129658,the Raleigh City Council,find,the future
266,Q7286898,Q344,financially,KG,,0.021385198459029198,the Raleigh City Council,financially,the future
267,Q7286898,Q344,insure,KG,,0.018734904937446117,the Raleigh City Council,insure,the future
268,Q7286898,Q344,create,KG,,0.016778180841356516,the Raleigh City Council,create,the future
269,Q7286898,Q344,economically,KG,,0.01598272565752268,the Raleigh City Council,economically,the future
270,Q7286898,Q344,sound,KG,,0.01454789424315095,the Raleigh City Council,sound,the future
271,Q7286898,Q344,enhance,KG,,0.013861466199159622,the Raleigh City Council,enhance,the future
272,Q42139305,Q2249676,enhance,KG,,0.029332886449992657,the natural features,enhance,already distinctive environment
273,Q42139305,Q2249676,financially,KG,,0.019620847888290882,the natural features,financially,already distinctive environment
274,Q42139305,Q2249676,sound,KG,,0.018878780771046877,the natural features,sound,already distinctive environment
275,Q42139305,Q2249676,economically,KG,,0.018691954668611288,the natural features,economically,already distinctive environment
276,Q42139305,Q2249676,create,KG,,0.01618395745754242,the natural features,create,already distinctive environment
277,Q42139305,Q2249676,enhance,KG,,0.029332886449992657,the natural features,enhance,already distinctive environment
278,Q42139305,Q2249676,financially,KG,,0.019620847888290882,the natural features,financially,already distinctive environment
279,Q42139305,Q2249676,sound,KG,,0.018878780771046877,the natural features,sound,already distinctive environment
280,Q42139305,Q2249676,economically,KG,,0.018691954668611288,the natural features,economically,already distinctive environment
281,Q42139305,Q2249676,create,KG,,0.01618395745754242,the natural features,create,already distinctive environment
282,Q42139305,Q141488,create,KG,,0.03253458347171545,the natural features,create,a network
283,Q42139305,Q141488,sound,KG,,0.024460142478346825,the natural features,sound,a network
284,Q42139305,Q141488,financially,KG,,0.02332760952413082,the natural features,financially,a network
285,Q42139305,Q141488,economically,KG,,0.02162277139723301,the natural features,economically,a network
286,Q42139305,Q22698,create,KG,,0.05041245650500059,the natural features,create,parks
287,Q42139305,Q22698,economically,KG,,0.039716712199151516,the natural features,economically,parks
288,Q42139305,Q22698,financially,KG,,0.029796022921800613,the natural features,financially,parks
289,Q42139305,Q22698,sound,KG,,0.022165752947330475,the natural features,sound,parks
290,Q42139305,Q7096237,sound,KG,,0.02289104275405407,the natural features,sound,) green open space
291,Q42139305,Q7096237,economically,KG,,0.021631811745464802,the natural features,economically,) green open space
292,Q42139305,Q7096237,financially,KG,,0.021558760665357113,the natural features,financially,) green open space
293,Q42139305,Q7096237,create,KG,,0.020808796398341656,the natural features,create,) green open space
294,Q42139305,Q2249676,enhance,KG,,0.029332886449992657,the natural features,enhance,already distinctive environment
295,Q42139305,Q2249676,financially,KG,,0.019620847888290882,the natural features,financially,already distinctive environment
296,Q42139305,Q2249676,sound,KG,,0.018878780771046877,the natural features,sound,already distinctive environment
297,Q42139305,Q2249676,economically,KG,,0.018691954668611288,the natural features,economically,already distinctive environment
298,Q42139305,Q2249676,create,KG,,0.01618395745754242,the natural features,create,already distinctive environment
299,Q42139305,Q2249676,enhance,KG,,0.029332886449992657,the natural features,enhance,already distinctive environment
300,Q42139305,Q2249676,financially,KG,,0.019620847888290882,the natural features,financially,already distinctive environment
301,Q42139305,Q2249676,sound,KG,,0.018878780771046877,the natural features,sound,already distinctive environment
302,Q42139305,Q2249676,economically,KG,,0.018691954668611288,the natural features,economically,already distinctive environment
303,Q42139305,Q2249676,create,KG,,0.01618395745754242,the natural features,create,already distinctive environment
304,Q42139305,Q2249676,enhance,KG,,0.029332886449992657,the natural features,enhance,already distinctive environment
305,Q42139305,Q2249676,financially,KG,,0.019620847888290882,the natural features,financially,already distinctive environment
306,Q42139305,Q2249676,sound,KG,,0.018878780771046877,the natural features,sound,already distinctive environment
307,Q42139305,Q2249676,economically,KG,,0.018691954668611288,the natural features,economically,already distinctive environment
308,Q42139305,Q2249676,create,KG,,0.01618395745754242,the natural features,create,already distinctive environment
309,Q42139305,Q184872,insure,KG,,0.03208852652460337,the natural features,insure,adequate recreation facilities
310,Q42139305,Q184872,financially,KG,,0.022141623310744762,the natural features,financially,adequate recreation facilities
311,Q42139305,Q184872,economically,KG,,0.02351902425289154,the natural features,economically,adequate recreation facilities
312,Q42139305,Q184872,enhance,KG,,0.0213781725615263,the natural features,enhance,adequate recreation facilities
313,Q42139305,Q184872,sound,KG,,0.018657273147255182,the natural features,sound,adequate recreation facilities
314,Q42139305,Q184872,create,KG,,0.017987173050642014,the natural features,create,adequate recreation facilities
315,Q42139305,Q344,financially,KG,,0.021910767070949078,the natural features,financially,the future
316,Q42139305,Q344,economically,KG,,0.02110110502690077,the natural features,economically,the future
317,Q42139305,Q344,insure,KG,,0.01811168622225523,the natural features,insure,the future
318,Q42139305,Q344,sound,KG,,0.01806966634467244,the natural features,sound,the future
319,Q42139305,Q344,create,KG,,0.01685297628864646,the natural features,create,the future
320,Q42139305,Q344,enhance,KG,,0.015470431186258793,the natural features,enhance,the future
321,Q2249676,Q184872,insure,KG,,0.0814809687435627,already distinctive environment,insure,adequate recreation facilities
322,Q2249676,Q344,insure,KG,,0.06750412844121456,already distinctive environment,insure,the future
